filename,width,height,class,xmin,ymin,xmax,ymax
118_26_jpg.rf.53ca464ca08a3d51399459ee7bed1704.jpg,640,750,happy,123,211,527,656
125_3_jpg.rf.737e00165a94217e9b4b78ec019ff121.jpg,640,750,neutral,89,152,564,670
125_33_jpg.rf.4125b4d75b1569aaacbaae8ab013a15c.jpg,640,750,happy,101,130,564,689
55_5_jpg.rf.0a420e944defe35967de57f3acd74c42.jpg,640,750,neutral,159,192,547,636
105_32_jpg.rf.7cb302e4472e765512c81f543889e173.jpg,640,750,happy,99,189,486,655
39_2_jpg.rf.b6694effd1fba5c9b431bed768b7f358.jpg,640,750,neutral,85,162,552,696
14_23_jpg.rf.076aa722089588c541cc215ecc6fb18f.jpg,640,750,sad,152,230,509,631
82_24_jpg.rf.c62f728402cc99676d41716069106b9c.jpg,640,750,sad,100,203,556,727
39_2_jpg.rf.b8c1de34a7bad27a99f10d6cc2bfb06e.jpg,640,750,neutral,144,196,516,659
64_10_jpg.rf.6929b8ab5461e84bea9063b7b8153ed5.jpg,640,750,happy,197,236,570,630
139_9_jpg.rf.8736cbbd8cd34e08c4e1c29463cc286b.jpg,640,750,neutral,82,212,413,657
29_34_jpg.rf.e5f93c8f3efe0bfccaeab8beaa18e858.jpg,640,750,happy,33,147,494,689
32_1_jpg.rf.f013a33e9dbbada547065c30ede6b9c9.jpg,640,750,happy,164,113,615,684
70_25_jpg.rf.3c6cf9c65bb95f46fbc39f5e5868e31a.jpg,640,750,happy,24,89,542,678
30_7_jpg.rf.faf137ea466f2baf851376bc20b131e7.jpg,640,750,neutral,0,114,540,709
118_28_jpg.rf.4d79d92b057ac499713c441f00252a7b.jpg,640,750,happy,25,153,546,706
4_27_jpg.rf.fc189c560efa4843a53c22b8b7d33b76.jpg,640,750,neutral,115,207,523,650
95_24_jpg.rf.dbe9750adc3d42ecd19f9c0603b35ef5.jpg,640,750,neutral,80,133,562,660
47_31_jpg.rf.e3fdfd77e7c10a44f04d22d58ebfca55.jpg,640,750,neutral,0,60,607,668
43_11_jpg.rf.ec67f273a08cc73f73ec5f2121cf70cc.jpg,640,750,sad,91,130,583,702
25_31_jpg.rf.713237d399919e17a342e19a5a13ab7a.jpg,640,750,happy,100,165,563,685
68_23_jpg.rf.2688da0a4673f1fe1204587da741f535.jpg,640,750,sad,109,228,435,631
97_15_jpg.rf.b9f9e01b985a1bbc5d3784b16978e615.jpg,640,750,neutral,92,157,543,660
47_26_jpg.rf.3dd897b336434be441d54be3aad4d6b7.jpg,640,750,happy,14,151,452,680
72_24_jpg.rf.9a2734e9ed0cef29c5a956935410cba8.jpg,640,750,happy,156,95,615,654
68_9_jpg.rf.b67efd54a3ac49889c0ad2bfdf3c5873.jpg,640,750,neutral,198,203,556,639
32_1_jpg.rf.9f0d262f4a9a42b356aa58a0f13ab26a.jpg,640,750,happy,215,193,550,656
